@@ImportExport
Color,Kind,Letter,Number
White,Rook,A,1
White,Knight,C,4
White,Bishop,C,1
White,Queen,H,5
White,King,E,1
White,Bishop,F,1
White,Knight,G,1
White,Rook,H,1
White,Pawn,A,2
White,Pawn,B,2
White,Pawn,C,2
White,Pawn,D,2
White,Pawn,E,4
White,Pawn,F,2
White,Pawn,G,2
White,Pawn,H,2
Black,Pawn,A,7
Black,Pawn,B,7
Black,Pawn,C,7
Black,Pawn,D,7
Black,Pawn,E,6
Black,Pawn,F,7
Black,Pawn,G,7
Black,Pawn,H,6
Black,Rook,A,8
Black,Knight,C,5
Black,Bishop,C,8
Black,Queen,D,8
Black,King,E,8
Black,Bishop,F,8
Black,Knight,G,8
Black,Rook,H,8
